license_plate_no,mileage,branch_id,model_name
UKT-935,97070.00,1,Kona
UUW-292,55273.00,3,Kona
UBV-310,72015.00,1,Murano
PLQ-699,129664.00,1,Murano
HFY-898,37953.00,1,Q3
SRL-846,65592.00,1,Golf
CDS-528,27269.00,3,Golf
RPB-784,15478.00,2,Jimny
LLY-458,85239.00,1,California T
QCC-376,69003.00,2,California T
BZY-417,92362.00,2,B4
KYN-784,51845.00,3,B4
FVD-605,12958.00,3,Grandland
ZHN-500,128770.00,3,4Runner
FQN-662,42508.00,3,Artura
TJY-525,138173.00,4,Outlander Sport
HEC-280,25425.00,4,Cooper
ARU-286,40470.00,3,Cooper
PTM-724,81456.00,1,S-Class
VWX-857,12289.00,2,Silverado 1500
NNN-503,18977.00,1,S60
BGC-313,64484.00,2,S60
