rental_id,start_date,end_date,total_cost,license_plate_no,renter_id,insurance_id,employee_id,branch_id
1,2025-08-19,2025-08-28,,UUW-292,3,1,1,3
2,2025-06-08,2025-06-10,,FQN-662,3,1,1,3
3,2025-09-08,2025-09-12,,RPB-784,5,3,1,2
4,2025-10-28,2025-11-06,,TJY-525,10,1,1,4
5,2025-10-11,2025-10-20,,KYN-784,3,2,1,3
6,2025-11-29,2025-12-07,,FVD-605,9,2,1,3
7,2026-02-12,2026-02-15,,UUW-292,3,1,1,3
8,2026-02-17,2026-02-18,,BZY-417,3,3,1,2
9,2025-06-03,2025-06-06,,KYN-784,3,1,1,3
10,2025-08-01,2025-08-10,,HFY-898,6,2,1,1
11,2026-02-03,2026-02-05,,QCC-376,1,1,1,2
12,2025-09-06,2025-09-11,,BGC-313,2,2,1,2
13,2026-01-18,2026-01-27,,SRL-846,2,1,1,1
14,2025-11-14,2025-11-24,,QCC-376,10,1,1,2
15,2025-09-11,2025-09-16,,HFY-898,9,3,1,1
16,2026-01-31,2026-02-09,,FVD-605,9,3,1,3
17,2025-09-12,2025-09-20,,RPB-784,7,1,1,2
18,2025-12-18,2025-12-26,,PLQ-699,2,1,1,1
19,2024-07-17,2024-07-23,,CDS-528,4,1,1,4
20,2024-04-14,2024-04-19,,CDS-528,3,3,1,1
21,2024-02-08,2024-02-15,,FQN-662,8,2,1,1
22,2024-03-03,2024-03-06,,CDS-528,4,2,1,3
23,2024-03-04,2024-03-06,,FQN-662,3,1,1,3
24,2025-03-04,2025-03-08,,VWX-857,10,2,1,2
25,2025-08-04,2025-08-05,,VWX-857,9,1,1,2
26,2026-01-23,2026-01-25,,VWX-857,8,1,1,2
